,Market Cap (intraday) ,Enterprise Value ,Trailing P/E ,Forward P/E ,PEG Ratio (5 yr expected) ,Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue ,Enterprise Value/EBITDA ,Beta (5Y Monthly) ,52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float 8,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Nov 29, 2021) 4","Short Ratio (Nov 29, 2021) 4","Short % of Float (Nov 29, 2021) 4","Short % of Shares Outstanding (Nov 29, 2021) 4","Shares Short (prior month Oct 28, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends ,Most Recent Quarter (mrq),Profit Margin ,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA ,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),"Shares Short (Nov 14, 2021) 4","Short Ratio (Nov 14, 2021) 4","Short % of Float (Nov 14, 2021) 4","Short % of Shares Outstanding (Nov 14, 2021) 4","Shares Short (prior month Oct 14, 2021) 4",Shares Short  4,Short Ratio  4,Short % of Float  4,Short % of Shares Outstanding  4,Shares Short (prior month ) 4,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4","Shares Short (Jun 14, 2021) 4","Short Ratio (Jun 14, 2021) 4","Short % of Float (Jun 14, 2021) 4","Short % of Shares Outstanding (Jun 14, 2021) 4","Shares Short (prior month May 13, 2021) 4","Shares Short (Aug 12, 2021) 4","Short Ratio (Aug 12, 2021) 4","Short % of Float (Aug 12, 2021) 4","Short % of Shares Outstanding (Aug 12, 2021) 4","Shares Short (prior month Jul 14, 2021) 4","Shares Short (Jul 29, 2021) 4","Short Ratio (Jul 29, 2021) 4","Short % of Float (Jul 29, 2021) 4","Short % of Shares Outstanding (Jul 29, 2021) 4","Shares Short (prior month Jun 29, 2021) 4","Shares Short (Sep 14, 2021) 4","Short Ratio (Sep 14, 2021) 4","Short % of Float (Sep 14, 2021) 4","Short % of Shares Outstanding (Sep 14, 2021) 4","Shares Short (prior month Aug 12, 2021) 4","Shares Short (Oct 14, 2021) 4","Short Ratio (Oct 14, 2021) 4","Short % of Float (Oct 14, 2021) 4","Short % of Shares Outstanding (Oct 14, 2021) 4","Shares Short (prior month Sep 14, 2021) 4","Shares Short (Apr 14, 2021) 4","Short Ratio (Apr 14, 2021) 4","Short % of Float (Apr 14, 2021) 4","Short % of Shares Outstanding (Apr 14, 2021) 4","Shares Short (prior month Mar 14, 2021) 4","Shares Short (Aug 30, 2021) 4","Short Ratio (Aug 30, 2021) 4","Short % of Float (Aug 30, 2021) 4","Short % of Shares Outstanding (Aug 30, 2021) 4","Shares Short (prior month Jul 29, 2021) 4","Shares Short (Oct 28, 2021) 4","Short Ratio (Oct 28, 2021) 4","Short % of Float (Oct 28, 2021) 4","Short % of Shares Outstanding (Oct 28, 2021) 4","Shares Short (prior month Sep 29, 2021) 4","Shares Short (Sep 29, 2021) 4","Short Ratio (Sep 29, 2021) 4","Short % of Float (Sep 29, 2021) 4","Short % of Shares Outstanding (Sep 29, 2021) 4","Shares Short (prior month Aug 30, 2021) 4","Shares Short (Jul 14, 2021) 4","Short Ratio (Jul 14, 2021) 4","Short % of Float (Jul 14, 2021) 4","Short % of Shares Outstanding (Jul 14, 2021) 4","Shares Short (prior month Jun 14, 2021) 4","Shares Short (Jun 29, 2021) 4","Short Ratio (Jun 29, 2021) 4","Short % of Float (Jun 29, 2021) 4","Short % of Shares Outstanding (Jun 29, 2021) 4","Shares Short (prior month May 27, 2021) 4","Shares Short (Apr 29, 2021) 4","Short Ratio (Apr 29, 2021) 4","Short % of Float (Apr 29, 2021) 4","Short % of Shares Outstanding (Apr 29, 2021) 4","Shares Short (prior month Mar 30, 2021) 4"
GLOB,11.27B,10.90B,131.58,65.36,N/A,9.86,8.93,9.48,87.55,1.42,25.59%,25.05%,354.62,188.67,296.80,256.95,523.09k,443.56k,41.37M,N/A,40.76M,1.98%,94.78%,1.32M,1.7,3.63%,3.19%,911.41k,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",7.46%,12.58%,6.19%,8.29%,1.15B,28.43,65.00%,304.82M,180.39M,85.78M,2.07,106.50%,482.6M,11.59,119.7M,9.47,2.57,30.31,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTC,10.84B,10.55B,N/A,N/A,N/A,14.42,24.09,14.38,-86.92,1.13,-24.68%,25.05%,189.84,97.89,156.59,141.61,1.17M,1.77M,92.61M,N/A,74.39M,19.73%,79.20%,6.92M,7.12,10.71%,7.48%,8.01M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Apr 29, 2021","Oct 30, 2021",-22.18%,-18.74%,-7.07%,-36.48%,733.8M,8.11,42.20%,448.77M,-119.48M,-162.79M,-1.80,N/A,878.73M,9.49,592.24M,131.67,2.31,4.86,21.5M,178.77M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JNPR,11.06B,11.57B,75.56,17.70,1.39,2.43,2.52,2.48,24.16,0.87,49.58%,25.05%,34.26,21.99,30.97,28.10,3.28M,5.13M,325.18M,N/A,321.16M,1.27%,95.43%,13.95M,4.25,5.89%,4.29%,14.97M,0.8,2.38%,0.80,2.38%,2.56,177.78%,"Dec 21, 2021","Nov 29, 2021",2:1,"Jun 15, 2000","Dec 30, 2020","Sep 29, 2021",3.23%,9.71%,3.24%,3.37%,4.66B,14.29,4.40%,2.57B,680.3M,150.6M,0.45,-38.90%,1.34B,4.13,1.85B,42.13,1.67,13.48,699.5M,518.2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTXS,10.17B,13.23B,32.35,15.36,3.63,3.23,25.43,4.16,20.22,-0.00,-36.30%,25.05%,145.19,78.07,89.29,110.93,1.64M,2.09M,124.72M,N/A,123.61M,0.83%,99.85%,5.27M,2.85,5.41%,4.23%,4.55M,1.48,1.75%,1.46,1.75%,N/A,57.94%,"Dec 20, 2021","Dec 05, 2021",12558:10000,"Jan 31, 2017","Dec 30, 2020","Sep 29, 2021",9.97%,13.38%,4.76%,135.18%,3.18B,25.69,1.50%,2.77B,613.75M,316.69M,2.52,-47.30%,449.66M,3.61,3.51B,877.97,0.66,3.21,632.82M,773.11M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCOR,10.97B,9.99B,N/A,N/A,N/A,22.79,9.78,20.88,-43.36,N/A,-12.48%,25.05%,108.75,74.34,88.57,90.96,674.7k,1.79M,132.83M,N/A,97.96M,13.07%,77.44%,2.57M,3.95,4.24%,1.93%,2.8M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-54.71%,-47.36%,N/A,N/A,478.23M,7.16,29.50%,328.75M,-209.85M,-264.1M,-3.96,N/A,1.07B,8.12,89.6M,7.99,3.74,8.50,52.09M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYNA,11.06B,11.14B,89.42,25.71,2.14,8.12,11.05,8.05,34.01,1.16,222.14%,25.05%,299.39,79.22,237.14,172.34,404.09k,561.16k,39.27M,N/A,38.88M,0.76%,94.22%,1.5M,2.88,7.09%,3.83%,2.34M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,3:2,"Sep 01, 2008","Jun 25, 2021","Sep 24, 2021",8.86%,13.50%,6.56%,13.32%,1.38B,38.85,13.50%,637.2M,318.3M,122.6M,3.07,N/A,347.3M,8.84,431.4M,43.08,2.47,25.53,371M,397.44M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNX,10.46B,10.44B,9.45,11.44,0.95,0.21,4.47,0.39,9.58,1.59,34.73%,25.05%,130.93,79.05,108.36,116.29,333.57k,393.23k,96.01M,51.23M,41.33M,10.92%,88.28%,952.94k,3.92,1.11%,0.99%,1.02M,0.8,0.74%,0.60,0.55%,1.01,5.20%,"Oct 28, 2021","Oct 13, 2021",2:1,"Nov 30, 2020","Nov 29, 2020","Aug 30, 2021",1.83%,4.17%,5.88%,18.67%,26.82B,524.19,-1.90%,2.92B,1.46B,594.82M,9.40,-29.60%,4.05B,42.19,4.18B,178.80,2.40,45.58,536.06M,1.29B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFA,10.71B,13.10B,N/A,48.31,N/A,7.64,9.61,9.26,33.73,N/A,25.62%,25.05%,40.13,27.51,33.29,33.29,1.16M,991.76k,234.15M,278.2M,108.31M,55.25%,34.53%,640.84k,0.78,1.48%,0.23%,174.32k,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-4.69%,6.36%,N/A,N/A,1.41B,5.78,10.60%,1.1B,293.96M,-66.36M,-0.28,N/A,451.77M,1.62,2.85B,255.42,1.27,4.55,220.94M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZPN,9.84B,9.91B,30.82,29.67,3.39,13.74,14.21,13.57,24.24,1.36,13.49%,25.05%,169.22,122.29,153.72,142.87,467.14k,332.23k,66.92M,N/A,66.64M,0.57%,105.23%,1.07M,3.74,1.79%,1.61%,1.05M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Mar 02, 1997","Jun 29, 2021","Sep 29, 2021",44.70%,50.85%,18.02%,54.40%,730.43M,10.79,18.30%,649.23M,381.43M,326.49M,4.78,20.40%,247.96M,3.7,325.12M,46.97,3.39,10.34,272.37M,325.71M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMM,12.79B,14.66B,N/A,N/A,N/A,19.90,2.51,3.59,-2.88,N/A,-52.33%,25.05%,21.50,7.95,13.88,14.61,2.88M,5.87M,1.09B,N/A,631.26M,0.00%,23.87%,20.37M,7.83,N/A,1.88%,18.46M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-125.28%,-128.10%,-12.95%,-22.01%,4.08B,9.16,68.90%,276.73M,-5.16B,-5.75B,-2.03,N/A,26.77B,24.93,N/A,N/A,13.20,30.13,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCC,10.57B,10.58B,130.86,59.88,N/A,22.86,26.91,22.01,90.06,0.95,64.97%,25.05%,85.45,37.38,74.83,59.33,927.76k,1.1M,136.94M,N/A,135.47M,1.61%,100.84%,3.15M,2.85,2.61%,2.30%,3.72M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Oct 11, 2000","Jan 01, 2021","Oct 01, 2021",17.34%,18.43%,7.99%,21.66%,480.7M,3.52,28.00%,245.31M,112.33M,83.38M,0.59,112.10%,181.45M,1.33,188.04M,47.86,3.40,2.87,138.79M,98.26M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,9.56B,10.65B,26.46,18.32,N/A,2.52,4.89,2.73,15.17,1.40,20.72%,25.05%,52.75,38.28,50.17,47.77,663.47k,946.73k,188.06M,N/A,173.47M,0.49%,103.14%,3.74M,5.69,2.78%,1.99%,3.79M,0.43,0.85%,0.42,0.83%,N/A,21.88%,"Dec 21, 2021","Dec 08, 2021",N/A,N/A,"Dec 30, 2020","Sep 29, 2021",9.52%,13.72%,6.79%,19.91%,3.9B,20.71,8.60%,1.31B,695.3M,371.34M,1.92,19.80%,927.64M,4.93,2.02B,103.34,1.58,10.39,606.57M,470.36M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANH,9.48B,9.25B,87.06,71.43,2.97,15.08,39.71,14.48,64.41,1.99,45.37%,25.05%,188.52,100.16,164.54,147.61,311.94k,460.5k,63.28M,N/A,62.78M,1.23%,99.58%,642.8k,2.71,1.15%,1.02%,954.37k,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,4:1,"Jan 12, 2014","Dec 30, 2020","Sep 29, 2021",17.27%,21.18%,18.17%,51.77%,639.23M,10.06,13.00%,316.49M,143.67M,110.43M,1.72,46.80%,246.44M,3.89,30.49M,12.78,1.66,3.77,183.1M,161.19M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVA,9.23B,9.20B,113.33,N/A,N/A,13.03,18.96,18.45,134.27,0.92,98.72%,25.05%,172.41,72.15,154.62,121.75,250.12k,196.99k,55.99M,N/A,36.53M,0.01%,71.39%,225.11k,1.02,N/A,0.40%,172.5k,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jun 29, 2021","Sep 29, 2021",11.49%,15.87%,10.99%,19.64%,498.64M,8.98,55.00%,153.83M,92.56M,57.28M,1.32,206.30%,82.03M,1.47,60.55M,18.09,1.91,6.01,86.79M,76.45M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLO,10.05B,9.76B,152.55,80.00,N/A,49.63,39.44,48.20,133.89,N/A,3.64%,25.05%,73.43,29.57,43.50,48.87,2.09M,1.56M,160.97M,295.03M,71.57M,10.46%,77.43%,6.33M,2.55,6.49%,2.14%,3.47M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",32.53%,36.19%,N/A,N/A,202.52M,0.72,122.50%,60.08M,74.71M,65.89M,0.22,128.10%,294.12M,1,4.03M,1.58,1.81,0.86,106.81M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMAR,9.00B,8.64B,N/A,N/A,N/A,17.56,17.58,17.16,-68.08,1.41,1.26%,25.05%,85.65,51.11,68.77,67.82,1.2M,1.63M,126.75M,N/A,122.31M,3.47%,89.59%,4.93M,5.09,4.59%,3.90%,5.13M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Oct 30, 2021",-29.13%,-27.19%,-9.68%,-28.19%,503.32M,4.04,46.20%,299.97M,-121.49M,-146.62M,-1.18,N/A,439.95M,3.47,79.78M,15.59,1.60,4.05,11.84M,116.94M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLB,8.97B,7.78B,29.87,23.98,1.50,7.24,3.45,6.07,16.63,0.97,-1.53%,25.05%,104.74,83.10,88.89,95.45,437.29k,690.32k,65.07M,101.16M,64.45M,1.58%,94.06%,843.21k,1.92,1.32%,0.83%,635.57k,1,1.09%,0.91,0.99%,1.06,29.63%,"Dec 07, 2021","Nov 28, 2021",N/A,N/A,"Sep 23, 2021","Sep 23, 2021",24.21%,26.60%,7.07%,12.60%,1.28B,12.66,5.10%,1.15B,436.62M,310.23M,2.97,64.70%,1.26B,12.5,72.12M,2.77,5.58,25.70,447.75M,351.8M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBX,9.16B,9.74B,116.63,15.65,0.82,4.57,N/A,4.64,23.29,0.95,3.35%,25.05%,33.00,21.57,27.14,28.42,3.81M,3.98M,299.56M,382.47M,283.01M,4.43%,81.78%,19.33M,3.63,6.77%,5.05%,19.19M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-6.42%,13.08%,5.53%,-39.09%,2.1B,5.30,12.90%,1.5B,423.4M,-134.6M,-0.34,131.20%,1.93B,5.07,2.5B,N/A,1.75,-0.43,737.8M,689.31M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBL,9.37B,11.13B,14.28,10.32,N/A,0.34,4.39,0.38,5.71,1.34,55.70%,25.05%,66.55,40.87,62.36,57.89,963.44k,1.36M,144.17M,N/A,134.14M,6.17%,89.49%,1.42M,2.08,1.40%,0.99%,2.06M,0.32,0.49%,0.32,0.49%,1.00,6.53%,"Nov 30, 2021","Nov 11, 2021",2:1,"Mar 30, 2000","Aug 30, 2021","Nov 29, 2021",2.45%,3.77%,4.30%,35.13%,30.02B,204.25,9.40%,2.36B,2.03B,737M,4.89,20.20%,1.23B,8.53,3.39B,153.74,0.99,15.31,1.32B,562.79M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWRE,9.50B,9.13B,N/A,N/A,N/A,12.88,6.34,12.35,-103.74,1.29,-10.52%,25.05%,134.22,91.77,119.82,111.79,479.33k,612.54k,83.31M,N/A,77.97M,0.13%,102.69%,3.38M,8.37,4.06%,4.05%,3.16M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jul 30, 2021","Oct 30, 2021",-13.20%,-19.02%,-3.89%,-6.18%,739.4M,8.86,-2.30%,366.24M,-109.81M,-97.59M,-1.17,N/A,853.08M,10.24,470.96M,31.43,5.29,17.99,20.25M,27.53M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSLR,10.33B,8.88B,22.92,38.76,4.65,3.96,1.77,3.38,12.26,1.43,-3.37%,25.05%,123.13,67.71,106.27,90.88,1.69M,1.38M,106.33M,N/A,93.6M,11.89%,80.96%,4.27M,2.47,4.59%,4.02%,4.05M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",17.26%,12.92%,2.97%,8.07%,2.63B,24.73,-37.10%,713.17M,593.44M,453.03M,4.24,-70.80%,1.92B,18.08,466.4M,8.00,4.26,54.83,389.41M,82.78M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSTG,9.41B,8.96B,N/A,55.25,5.57,4.63,12.99,4.54,-109.19,1.34,40.81%,25.05%,33.78,16.79,28.65,23.04,3.81M,4.01M,289.95M,N/A,272.05M,5.97%,83.54%,17.38M,3.91,7.67%,6.10%,20.69M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Oct 30, 2021",-10.66%,-8.58%,-3.84%,-28.85%,1.97B,7.01,37.00%,1.15B,-89.53M,-210.5M,-0.75,N/A,1.36B,4.7,912.46M,125.96,2.47,2.50,340.92M,244.4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOX,9.13B,9.04B,13.55,13.66,1.37,2.17,2.54,2.11,11.20,0.79,5.56%,25.05%,82.38,67.40,75.03,76.91,602.26k,689.08k,124.62M,N/A,122.74M,0.07%,96.37%,2.48M,3.46,2.28%,1.96%,2.41M,1.44,1.97%,1.41,1.93%,1.64,26.46%,"Jan 27, 2022","Dec 29, 2021",N/A,N/A,"Sep 29, 2021","Sep 29, 2021",16.05%,13.96%,5.82%,18.86%,4.29B,33.38,3.30%,1.48B,807.52M,688.37M,5.32,-8.10%,965.59M,7.73,881.17M,24.24,1.59,28.77,925.81M,590.53M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MQ,8.51B,6.86B,N/A,N/A,N/A,18.91,5.41,15.24,-51.22,N/A,-44.69%,25.05%,37.90,15.11,23.40,25.67,7.71M,9.17M,232.49M,540.14M,204.04M,0.26%,57.74%,15.13M,1.29,6.51%,2.80%,12.99M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-31.31%,-30.53%,N/A,N/A,449.96M,1.73,56.00%,117.91M,-133.92M,-140.88M,-0.54,N/A,1.67B,3.09,16.15M,1.03,9.34,2.91,23.05M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST,9.48B,11.77B,25.46,14.31,0.84,2.51,3.15,3.10,13.33,1.35,12.62%,25.05%,64.80,49.14,58.18,58.16,817.07k,866.49k,158.47M,N/A,148.5M,0.52%,102.98%,2.31M,3.21,1.62%,1.46%,1.89M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",9.84%,16.91%,4.99%,13.37%,3.79B,24.01,20.60%,972.39M,893.12M,373.28M,2.35,10.70%,1.96B,12.36,4.25B,141.15,3.98,18.99,659.66M,412.19M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNXC,8.91B,9.62B,25.31,16.18,1.08,1.62,3.47,1.77,11.66,N/A,70.71%,25.05%,191.35,96.44,178.43,163.01,208.1k,256.52k,52.32M,N/A,42.81M,19.25%,84.27%,394.17k,1.96,0.93%,0.75%,497.63k,1,0.59%,N/A,N/A,N/A,0.00%,"Nov 01, 2021","Oct 20, 2021",N/A,N/A,"Nov 29, 2020","Aug 30, 2021",6.38%,11.89%,7.95%,16.50%,5.42B,105.54,20.10%,1.74B,925.8M,342.1M,6.60,141.80%,154.19M,2.95,1.38B,53.90,1.64,49.96,451.16M,431.52M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPGP,8.90B,7.42B,34.28,27.47,N/A,6.30,3.25,5.18,16.82,1.34,-23.37%,25.05%,262.55,151.27,165.30,189.13,288.33k,301k,53.31M,N/A,36.1M,29.85%,67.65%,1.74M,5.58,4.87%,3.27%,1.83M,N/A,N/A,N/A,N/A,N/A,0.00%,"Dec 27, 2012","Dec 18, 2012",N/A,N/A,"Dec 30, 2020","Sep 29, 2021",18.33%,24.11%,7.27%,10.07%,1.43B,26.81,19.10%,539M,441.03M,262.67M,4.87,111.80%,1.52B,28.49,40.72M,1.49,7.94,51.39,390.47M,229.45M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKSI,8.95B,9.10B,17.35,13.42,N/A,3.15,3.28,3.20,12.09,1.42,5.02%,25.05%,199.44,138.70,154.86,164.20,433.04k,446.61k,55.46M,N/A,55.2M,0.44%,97.72%,1.58M,3.4,2.86%,2.85%,1.27M,0.88,0.56%,0.84,0.53%,0.77,9.03%,"Dec 09, 2021","Nov 25, 2021",N/A,N/A,"Dec 30, 2020","Sep 29, 2021",18.16%,24.55%,10.76%,20.86%,2.85B,51.44,25.80%,1.05B,798.1M,516.8M,9.30,44.40%,879.6M,15.86,1.04B,37.99,4.56,49.16,592.4M,382.89M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARW,8.81B,10.99B,9.77,7.13,0.33,0.28,1.70,0.32,6.97,1.47,29.43%,25.05%,130.00,94.25,121.76,116.84,452.93k,650.36k,69.63M,N/A,69.25M,0.65%,98.31%,1.77M,4.48,2.88%,2.54%,1.56M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Dec 16, 1986",2:1,"Oct 15, 1997","Dec 30, 2020","Oct 01, 2021",2.87%,4.05%,5.21%,19.37%,33.92B,458.58,17.70%,3.19B,1.57B,973.06M,13.00,74.70%,215.93M,3.1,2.39B,45.70,1.45,73.92,591.1M,223.79M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEGA,9.26B,9.59B,N/A,120.48,N/A,7.71,20.15,8.03,-255.86,1.14,-21.47%,25.05%,148.80,102.25,119.18,125.78,258.57k,384.06k,81.68M,N/A,40.98M,49.92%,48.91%,1.72M,6,4.18%,2.10%,1.6M,0.12,0.11%,0.12,0.11%,0.17,N/A,"Jan 16, 2022","Sep 29, 2021",2:1,"Apr 01, 2014","Dec 30, 2020","Sep 29, 2021",-1.82%,-5.74%,-2.81%,-4.41%,1.19B,14.71,13.40%,706.6M,-38.77M,-21.79M,-0.27,N/A,351.85M,4.31,687.52M,149.58,2.07,5.63,20.37M,129.25M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNB,7.91B,11.33B,N/A,15.77,N/A,3.83,2.21,5.54,14.73,N/A,-28.28%,25.05%,27.64,16.61,18.91,20.46,2.36M,2.79M,431.19M,N/A,205.6M,22.33%,66.39%,6.31M,2.28,3.96%,1.46%,6.76M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-2.60%,5.02%,0.68%,-1.30%,2.05B,4.79,21.90%,1.19B,595.6M,-53.3M,-0.13,N/A,234.8M,0.55,3.66B,100.43,0.71,8.31,466.1M,544.92M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
